bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) length 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) length 9e-08 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) length 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) length 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) length 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) length 2.7e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) length 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) length 3.6e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) length 4.05e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) length 4.5e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) length 4.95e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") / 6.28 / OP("/NM0" "cgg"))) length 5.4e-07 
29.76,90.36E3,32.54,36.41E3,33.08,33.38E3,33.27,32.46E3,33.38,31.88E3,33.45,31.16E3,33.50,30.27E3,33.54,29.25E3,33.57,28.16E3,33.59,27.03E3,33.61,25.90E3,33.66,24.55E3
29.65,1.787E6,32.42,962.1E3,32.92,934.7E3,33.08,925.8E3,33.16,915.8E3,33.21,896.7E3,33.23,869.7E3,33.24,837.5E3,33.25,802.4E3,33.25,766.3E3,33.24,730.2E3,33.27,691.5E3
28.95,33.24E6,31.55,23.23E6,31.92,22.91E6,31.94,22.03E6,31.89,20.94E6,31.81,19.67E6,31.72,18.32E6,31.63,17.00E6,31.53,15.74E6,31.45,14.57E6,31.36,13.50E6,31.31,12.54E6
26.65,492.4E6,28.53,390.2E6,28.42,345.2E6,28.09,295.4E6,27.72,254.5E6,27.38,221.0E6,27.08,193.4E6,26.82,170.7E6,26.59,151.7E6,26.38,135.7E6,26.20,122.2E6,26.04,110.9E6
21.33,3.955E9,22.14,2.880E9,21.91,2.246E9,21.62,1.785E9,21.30,1.464E9,21.00,1.229E9,20.73,1.048E9,20.49,906.5E6,20.27,792.4E6,20.08,699.3E6,19.90,622.0E6,19.73,556.5E6
16.35,15.78E9,17.15,11.40E9,16.69,8.606E9,16.12,6.582E9,15.57,5.190E9,15.12,4.198E9,14.73,3.469E9,14.41,2.917E9,14.15,2.490E9,13.92,2.152E9,13.73,1.880E9,13.55,1.654E9
13.48,47.15E9,12.74,31.51E9,11.57,20.95E9,10.82,14.71E9,10.30,10.94E9,9.932,8.505E9,9.662,6.828E9,9.456,5.623E9,9.295,4.724E9,9.166,4.034E9,9.061,3.491E9,8.959,3.039E9
9.936,99.56E9,8.336,53.57E9,7.496,32.33E9,7.063,21.76E9,6.803,15.86E9,6.631,12.18E9,6.513,9.723E9,6.429,7.982E9,6.367,6.697E9,6.320,5.717E9,6.285,4.950E9,6.235,4.297E9
6.572,139.8E9,5.460,66.34E9,5.043,38.98E9,4.849,26.10E9,4.738,19.00E9,4.669,14.61E9,4.622,11.67E9,4.588,9.591E9,4.560,8.049E9,4.536,6.867E9,4.514,5.937E9,4.479,5.135E9
4.389,155.1E9,3.775,70.83E9,3.566,41.45E9,3.466,27.68E9,3.397,20.05E9,3.341,15.30E9,3.292,12.11E9,3.247,9.846E9,3.206,8.175E9,3.168,6.904E9,3.134,5.912E9,3.104,5.082E9
3.086,155.3E9,2.721,69.60E9,2.573,40.06E9,2.484,26.31E9,2.416,18.75E9,2.362,14.12E9,2.317,11.06E9,2.280,8.924E9,2.249,7.365E9,2.222,6.190E9,2.199,5.281E9,2.181,4.529E9
