bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) length 4.5e-08 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) length 9e-08 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) length 1.35e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) length 1.8e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) length 2.25e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) length 2.7e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) length 3.15e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) length 3.6e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) length 4.05e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) length 4.5e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) length 4.95e-07 ,bsim4 ,waveVsWave(?x (OP("/NM0" "gm") / OP("/NM0" "ids")) ?y (OP("/NM0" "gm") * OP("/NM0" "rout"))) length 5.4e-07 
29.76,16.24,32.54,23.16,33.08,25.98,33.27,27.85,33.38,29.28,33.45,30.44,33.50,31.43,33.54,32.30,33.57,33.08,33.59,33.80,33.61,34.46,33.66,35.18
29.65,16.20,32.42,23.12,32.92,25.91,33.08,27.76,33.16,29.17,33.21,30.32,33.23,31.30,33.24,32.15,33.25,32.92,33.25,33.62,33.24,34.27,33.27,34.98
28.95,15.92,31.55,22.70,31.92,25.41,31.94,27.19,31.89,28.53,31.81,29.61,31.72,30.52,31.63,31.32,31.53,32.03,31.45,32.68,31.36,33.28,31.31,33.94
26.65,15.04,28.53,21.44,28.42,23.88,28.09,25.48,27.72,26.67,27.38,27.65,27.08,28.48,26.82,29.23,26.59,29.90,26.38,30.53,26.20,31.11,26.04,31.74
21.33,12.97,22.14,18.69,21.91,21.15,21.62,22.96,21.30,24.42,21.00,25.66,20.73,26.75,20.49,27.73,20.27,28.62,20.08,29.44,19.90,30.21,19.73,30.97
16.35,11.10,17.15,16.81,16.69,19.50,16.12,21.42,15.57,22.92,15.12,24.17,14.73,25.25,14.41,26.22,14.15,27.11,13.92,27.93,13.73,28.70,13.55,29.46
13.48,10.50,12.74,14.85,11.57,16.68,10.82,18.06,10.30,19.21,9.932,20.24,9.662,21.17,9.456,22.03,9.295,22.84,9.166,23.59,9.061,24.30,8.959,24.98
9.936,9.155,8.336,11.34,7.496,12.49,7.063,13.52,6.803,14.43,6.631,15.24,6.513,15.96,6.429,16.60,6.367,17.16,6.320,17.66,6.285,18.09,6.235,18.50
6.572,6.951,5.460,7.991,5.043,8.739,4.849,9.374,4.738,9.824,4.669,10.09,4.622,10.18,4.588,10.12,4.560,9.926,4.536,9.640,4.514,9.291,4.479,9.116
4.389,5.005,3.775,5.462,3.566,5.684,3.466,5.659,3.397,5.400,3.341,5.022,3.292,4.620,3.247,4.245,3.206,3.918,3.168,3.640,3.134,3.406,3.104,3.305
3.086,3.588,2.721,3.551,2.573,3.241,2.484,2.894,2.416,2.584,2.362,2.336,2.317,2.142,2.280,1.988,2.249,1.865,2.222,1.766,2.199,1.684,2.181,1.650
